Product ID;Ürün Adı;SKU;Barkod;Normal Fiyat;İndirimli Fiyat
77dfc9f0-9455-413c-8df8-4117d23fa51a;Agraflı Truvakar Kol Siyah Ceket;SWS3673;2130590002778;1828.75;799
77dfc9f0-9455-413c-8df8-4117d23fa51a;Agraflı Truvakar Kol Siyah Ceket;SWS3673;2130590002779;1828.75;799
77dfc9f0-9455-413c-8df8-4117d23fa51a;Agraflı Truvakar Kol Siyah Ceket;SWS3673;2130590002780;1828.75;799
77dfc9f0-9455-413c-8df8-4117d23fa51a;Agraflı Truvakar Kol Siyah Ceket;SWS3673;2130590002781;1828.75;799
77dfc9f0-9455-413c-8df8-4117d23fa51a;Agraflı Truvakar Kol Siyah Ceket;SWS3673;2130590002782;1828.75;799
d8b31aeb-ff37-40f4-af19-7a36b968a7de;Agraflı Truvakar Kol Turuncu Ceket;SWS3673;2130590002785;1828.75;799
d8b31aeb-ff37-40f4-af19-7a36b968a7de;Agraflı Truvakar Kol Turuncu Ceket;SWS3673;2130590002784;1828.75;799
d8b31aeb-ff37-40f4-af19-7a36b968a7de;Agraflı Truvakar Kol Turuncu Ceket;SWS3673;2130590002783;1828.75;799
d8b31aeb-ff37-40f4-af19-7a36b968a7de;Agraflı Truvakar Kol Turuncu Ceket;SWS3673;2130590002786;1828.75;799
d8b31aeb-ff37-40f4-af19-7a36b968a7de;Agraflı Truvakar Kol Turuncu Ceket;SWS3673;2130590002787;1828.75;799
64689f9e-6577-4a59-8a19-9985b4d3eabb;Agraflı Truvakar Kol Yeşil Ceket;SWS3673;2130590002773;1828.75;799
64689f9e-6577-4a59-8a19-9985b4d3eabb;Agraflı Truvakar Kol Yeşil Ceket;SWS3673;2130590002774;1828.75;799
64689f9e-6577-4a59-8a19-9985b4d3eabb;Agraflı Truvakar Kol Yeşil Ceket;SWS3673;2130590002775;1828.75;799
64689f9e-6577-4a59-8a19-9985b4d3eabb;Agraflı Truvakar Kol Yeşil Ceket;SWS3673;2130590002776;1828.75;799
64689f9e-6577-4a59-8a19-9985b4d3eabb;Agraflı Truvakar Kol Yeşil Ceket;SWS3673;2130590002777;1828.75;799
9f7359fa-95f0-4855-89ad-7b8e2f3c4839;Aksesuar Detaylı Ceket ve Pantolon Takım;25SWS9096;235590004550;2499;2499
9f7359fa-95f0-4855-89ad-7b8e2f3c4839;Aksesuar Detaylı Ceket ve Pantolon Takım;25SWS9096;235590004551;2499;2499
9f7359fa-95f0-4855-89ad-7b8e2f3c4839;Aksesuar Detaylı Ceket ve Pantolon Takım;25SWS9096;235590004552;2499;2499
9f7359fa-95f0-4855-89ad-7b8e2f3c4839;Aksesuar Detaylı Ceket ve Pantolon Takım;25SWS9089;235590004544;2499;2499
065d5af9-800b-439d-8356-d1dbe03a5266;Ala Kloş Etek Beyaz;SWS8638;2030590002734;1868.75;1123.95
